accession	source	species	lineage	called_species	called_lineage	correct
SRR6797804	ena	Mycobacterium_tuberculosis	lineage1.1.1	Mycobacterium_tuberculosis	lineage1.1.1	True
SRR6964563	ena	Mycobacterium_tuberculosis	lineage1.1.2	Mycobacterium_tuberculosis	lineage1.1.2	True
SRR6797825	ena	Mycobacterium_tuberculosis	lineage1.1.3	Mycobacterium_tuberculosis	lineage1.1.3	True
ERR270695	ena	Mycobacterium_tuberculosis	lineage1.2.1	Mycobacterium_tuberculosis	lineage1.2.1	True
ERR117616	ena	Mycobacterium_tuberculosis	lineage1.2.2	Mycobacterium_tuberculosis	lineage1.2.2	True
ERR270697	ena	Mycobacterium_tuberculosis	lineage2.1	Mycobacterium_tuberculosis	lineage2.1	True
SRR6982494	ena	Mycobacterium_tuberculosis	lineage2.2.1	Mycobacterium_tuberculosis	lineage2.2.1	True
SRR6832560	ena	Mycobacterium_tuberculosis	lineage2.2.10	Mycobacterium_tuberculosis	lineage2.2.10	True
ERR228068	ena	Mycobacterium_tuberculosis	lineage2.2.10	Mycobacterium_tuberculosis	lineage2.2.10	True
ERR234128	ena	Mycobacterium_tuberculosis	lineage2.2.2	Mycobacterium_tuberculosis	lineage2.2.2	True
ERR275194	ena	Mycobacterium_tuberculosis	lineage2.2.3	Mycobacterium_tuberculosis	lineage2.2.3	True
ERR351920	ena	Mycobacterium_tuberculosis	lineage2.2.4	Mycobacterium_tuberculosis	lineage2.2.4	True
ERR234193	ena	Mycobacterium_tuberculosis	lineage2.2.5	Mycobacterium_tuberculosis	lineage2.2.5	True
ERR234140	ena	Mycobacterium_tuberculosis	lineage2.2.6	Mycobacterium_tuberculosis	lineage2.2.6	True
SRR6650276	ena	Mycobacterium_tuberculosis	lineage2.2.7	Mycobacterium_tuberculosis	lineage2.2.7	True
SRR6797789	ena	Mycobacterium_tuberculosis	lineage2.2.8	Mycobacterium_tuberculosis	lineage2.2.8	True
SRR6484910	ena	Mycobacterium_tuberculosis	lineage2.2.9	Mycobacterium_tuberculosis	lineage2.2.9	True
ERR176648	ena	Mycobacterium_tuberculosis	lineage3.1.1	Mycobacterium_tuberculosis	lineage3.1.1	True
ERR270781	ena	Mycobacterium_tuberculosis	lineage3.1.2	Mycobacterium_tuberculosis	lineage3.1.2	True
SRR6650384	ena	Mycobacterium_tuberculosis	lineage4.1.1	Mycobacterium_tuberculosis	lineage4.1.1.3	False
ERR1465801	ena	Mycobacterium_tuberculosis	lineage4.1.2	Mycobacterium_tuberculosis	lineage4.1.2.1	False
ERR234198	ena	Mycobacterium_tuberculosis	lineage4.1.3	Mycobacterium_tuberculosis	lineage4.1.3	True
SRR6785535	ena	Mycobacterium_tuberculosis	lineage4.10	Mycobacterium_tuberculosis	lineage4.10	True
ERR144624	ena	Mycobacterium_tuberculosis	lineage4.2.1	Mycobacterium_tuberculosis	lineage4.2.1	True
SRR671832	ena	Mycobacterium_tuberculosis	lineage4.2.2	Mycobacterium_tuberculosis	lineage4.2.2	True
ERR1193830	ena	Mycobacterium_tuberculosis	lineage4.3.1	Mycobacterium_tuberculosis	lineage4.3.1	True
SRR6896506	ena	Mycobacterium_tuberculosis	lineage4.3.2	Mycobacterium_tuberculosis	lineage4.3.2.1	False
SRR6855976	ena	Mycobacterium_tuberculosis	lineage4.3.3	Mycobacterium_tuberculosis	lineage4.3.3	True
ERR161193	ena	Mycobacterium_tuberculosis	lineage4.3.4	Mycobacterium_tuberculosis	lineage4.3.4.2.1	False
ERR228067	ena	Mycobacterium_tuberculosis	lineage4.4.1	Mycobacterium_tuberculosis	lineage4.4.1.1	False
SRR671725	ena	Mycobacterium_tuberculosis	lineage4.4.2	Mycobacterium_tuberculosis	lineage4.4.2	True
ERR117623	ena	Mycobacterium_tuberculosis	lineage4.5	Mycobacterium_tuberculosis	lineage4.5	True
ERR1199080	ena	Mycobacterium_tuberculosis	lineage4.6.1	Mycobacterium_tuberculosis	lineage4.6.1.1	False
ERR278539	ena	Mycobacterium_tuberculosis	lineage4.6.2	Mycobacterium_tuberculosis	lineage4.6.2	True
ERR2383621	ena	Mycobacterium_africanum	lineage5	Mycobacterium_africanum	lineage5	True
ERR233366	ena	Mycobacterium_africanum	lineage6	Mycobacterium_africanum	lineage6	True
ERR159957	ena	Mycobacterium_tuberculosis	lineage7	Mycobacterium_tuberculosis	lineage7	True
ERR161048	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
SRR5216774	ena	Mycobacterium_bovis	lineageBovis	Mycobacterium_bovis	lineageBovis	True
ERR2642516	ena	Mycobacterium_caprae	lineageCaprae	Mycobacterium_caprae	lineageCaprae	True
ERR551023	ena	Mycobacterium_caprae	lineageCaprae	Mycobacterium_caprae	lineageCaprae	True
ERR970409	ena	Mycobacterium_africanum	clade_animal_A1	Mycobacterium_africanum	clade_animal_A1	True
SRR1239339	ena	Mycobacterium_microti	clade_animal_A2	Mycobacterium_microti	clade_animal_A2	True
ERR015582	ena	Mycobacterium_africanum	clade_animal_A3	Mycobacterium_africanum	clade_animal_A3	True
